id,Headline,Details,Severity,Region,Datetime,lat,lon,maritime_label,found_ports,contains_port_info,Category,Summarized_label,true_risks,input_text,normalized_text
552,Severe winds caused brief suspension at Port of Durban terminals,"Local sources reported that operations at Pier 1 and 2 container terminals at the Port of Durban have suspended due to strong winds on December 27 from 18:50 (local time) and resumed at 23:10 on the same day. For Pier 2 terminal, operations stopped at 19:30 and resumed at 20:35 respectively.",Minor,South Africa,2018-12-28 05:15:00,-29.88386,31.01766,true,['durban'],true,Port Disruption,Weather,['port_operational_disruption'],"Severe winds caused brief suspension at Port of Durban terminals Local sources reported that operations at Pier 1 and 2 container terminals at the Port of Durban have suspended due to strong winds on December 27 from 18:50 (local time) and resumed at 23:10 on the same day. For Pier 2 terminal, operations stopped at 19:30 and resumed at 20:35 respectively.",severe winds caused brief suspension at port of durban terminals local sources reported that operations at pier 1 and 2 container terminals at the port of durban have suspended due to strong winds on december 27 from 18 50 local time and resumed at 23 10 on the same day for pier 2 terminal operations stopped at 19 30 and resumed at 20 35 respectively
6,"UPDATE - Indonesia: Severe winds damage infrastructure in Bandung, West Java","Severe winds have downed billboards and trees in Bandung on Wednesday afternoon. According to local media sources, the gales were accompanied by heavy rain which caused localised flooding in certain areas. Available images show a large billboard collapsed against the Flyover Rainbow Antapani causing significant congestion on Jalan Terusan Jakarta. There are no reports of casualties at this time. Travellers in Bandung should drive with caution and be prepared to alter routes at short notice. Keep abreast of the latest weather forecasts and defer journeys if necessary.",Moderate,Indonesia,2017-04-19 09:10:00,-6.91264,107.657,false,['jakarta'],true,"Roadway Closure / Disruption, Flooding, Severe Winds, Weather Advisory",Weather,['weather_disruption'],"UPDATE - Indonesia: Severe winds damage infrastructure in Bandung, West Java Severe winds have downed billboards and trees in Bandung on Wednesday afternoon. According to local media sources, the gales were accompanied by heavy rain which caused localised flooding in certain areas. Available images show a large billboard collapsed against the Flyover Rainbow Antapani causing significant congestion on Jalan Terusan Jakarta. There are no reports of casualties at this time. Travellers in Bandung should drive with caution and be prepared to alter routes at short notice. Keep abreast of the latest weather forecasts and defer journeys if necessary.",update indonesia severe winds damage infrastructure in bandung west java severe winds have downed billboards and trees in bandung on wednesday afternoon according to local media sources the gales were accompanied by heavy rain which caused localised flooding in certain areas available images show a large billboard collapsed against the flyover rainbow antapani causing significant congestion on jalan terusan jakarta there are no reports of casualties at this time travellers in bandung should drive with caution and be prepared to alter routes at short notice keep abreast of the latest weather forecasts and defer journeys if necessary
4537,UPDATE 1 - Refrigerated container import capacity shortage improving at Tianjin Port,"Updated sources indicate that terminals at the Tianjin Port are currently facing constrained capacity for refrigerated container imports due to an insufficient supply of power plugs. The shortage is reportedly ongoing but improving at the port, which is under exceptional circumstances due to complications related to the COVID-19 virus outbreak.",Moderate,China,2020-02-03 21:57:00,38.98074,117.746,true,['tianjin'],true,"Port Disruption, Cargo Disruption, Port Congestion",Administrative Issue,['port_operational_disruption'],"UPDATE 1 - Refrigerated container import capacity shortage improving at Tianjin Port Updated sources indicate that terminals at the Tianjin Port are currently facing constrained capacity for refrigerated container imports due to an insufficient supply of power plugs. The shortage is reportedly ongoing but improving at the port, which is under exceptional circumstances due to complications related to the COVID-19 virus outbreak.",update 1 refrigerated container import capacity shortage improving at tianjin port updated sources indicate that terminals at the tianjin port are currently facing constrained capacity for refrigerated container imports due to an insufficient supply of power plugs the shortage is reportedly ongoing but improving at the port which is under exceptional circumstances due to complications related to the covid 19 virus outbreak
3771,Marine wind warning issued for Port of Sydney from May 21-22,"Industry sources indicate that the Bureau of Meteorology has issued the following marine wind warning for Sydney on May 21 and 22:

Wind Warnings for Thursday 21 May

Gale Warning for the following areas:
Illawarra Coast and Batemans Coast
Strong Wind Warning for the following areas:
Macquarie Coast, Hunter Coast and Eden Coast
Cancellation for the following area:
Sydney Coast

Wind Warnings for Friday 20 May

Storm Force Wind Warning for the following areas:
Sydney Coast and Illawarra Coast
Gale Warning for the following areas:
Macquarie Coast, Hunter Coast, Batemans Coast and Eden Coast
Strong Wind Warning for the following areas:
Sydney Closed Waters and Coffs Coast",Minor,Australia,2020-05-21 09:25:00,-33.97373,151.2168,false,['sydney'],true,Weather Advisory,Weather,['weather_disruption'],"Marine wind warning issued for Port of Sydney from May 21-22 Industry sources indicate that the Bureau of Meteorology has issued the following marine wind warning for Sydney on May 21 and 22:

Wind Warnings for Thursday 21 May

Gale Warning for the following areas:
Illawarra Coast and Batemans Coast
Strong Wind Warning for the following areas:
Macquarie Coast, Hunter Coast and Eden Coast
Cancellation for the following area:
Sydney Coast

Wind Warnings for Friday 20 May

Storm Force Wind Warning for the following areas:
Sydney Coast and Illawarra Coast
Gale Warning for the following areas:
Macquarie Coast, Hunter Coast, Batemans Coast and Eden Coast
Strong Wind Warning for the following areas:
Sydney Closed Waters and Coffs Coast",marine wind warning issued for port of sydney from may 21 22 industry sources indicate that the bureau of meteorology has issued the following marine wind warning for sydney on may 21 and 22 wind warnings for thursday 21 may gale warning for the following areas illawarra coast and batemans coast strong wind warning for the following areas macquarie coast hunter coast and eden coast cancellation for the following area sydney coast wind warnings for friday 20 may storm force wind warning for the following areas sydney coast and illawarra coast gale warning for the following areas macquarie coast hunter coast batemans coast and eden coast strong wind warning for the following areas sydney closed waters and coffs coast
1947,Osaka’s G20 summit likely to impede logistics operations from June 27-30,"Japan will host its first ever Group of Twenty (G20) summit at Osaka’s International Exhibition Center on June 28-29, 2019. The G20 summit is held annually for governments of 20 member nations to discuss a wide range of issues affecting the world’s economy. In light of the high profile event, Japanese authorities have released a statement detailing large-scale traffic and sea restrictions near Osaka Port, Kansai International Airport (KIX), as well as within Osaka city during the summit period. As KIX is the country’s third largest airport and a key logistics hub for engineering and automotive companies from southern and central regions of Japan, heightened security checks and restrictions may significantly affect cargo handling and delivery for industries that rely heavily on this route. 

Organizers of the G20 summit reportedly aim to reduce traffic by 50 percent for four days, during and leading up to the event. To this end, local authorities have set up traffic restrictions in and around Osaka especially for roads connecting to KIX. The airport is built on an artificial island in Osaka Bay; thus the bridge that connects KIX to Rinku town on the main island will be the most impacted route, particularly on June 27 and June 30 during the arrival and departure of head of states. 

From June 27-30, 10 major sections of Hanshin Expressway including No.1 Loop Route and the Gulf Line totaling about 160 kilometers that connects to KIX, hotels, and the summit venue will be closed to traffic from morning until late evening to facilitate movement of delegates and participants of the summit. As a result, traffic will likely be diverted to other expressways such as Meishin Expressway. In Osaka, traffic restrictions will be in effect at 9 locations: Osaka Station, Nakanoshima, Tenma, Osaka Castle, Honcho, Uehoncho, Namba, Tennoji, and Nanko. 

In order to access international cargo and fuel supply areas, authorities have set up a fixed route bus that goes from Kansai Airport Station to these areas. However, the bus may not operate normally due to traffic restrictions and logistics providers have been advised to allow for extra travel time. 

According to official statements by the local authorities, heightened security checks can be expected at three main entry points in Kansai region: Kansai International Airport, Osaka International Airport (also known as Itami Airport), and Kobe Airport. Due to their proximity to the event venue, Kansai and Osaka Airports will be used widely by the participants and both airports have released statements pertaining to cargo inspections. 

While no airlines have publicly announced additional flights during the aforementioned period, both airports have pre-warned about possible flight delays on June 27 and June 30 due to the arrival and departure of aircrafts carrying heads of states and government officials. Both airports also have prohibited flying drones above and around the facilities; KIX in particular has restricted flying drones within 1,000 meters of the airport. 

According to the statement released by authorities, all vessels entering the sea near Osaka Port and KIX from June 24–30 are requested to provide prior notification to Japan’s maritime security department by noon at least the day before the planned navigation date. Failure to do so would result in longer berthing times. Shipping companies can submit earlier notifications to the nearest maritime security department starting from June 3–19. In addition, vessels are also requested to refrain from entering designated restricted areas, referred to as """"voluntary navigation restraint sea area"""", around the airport island and the """"exclusive use sea area"""" between the two parts of the island.

Traffic restrictions in and out of KIX for 4-days are likely to be the main challenge for Everstream Analytics customers with airfreight as collection service for KIX from major domestic shipping companies and delivery service centered in Osaka are likely to be disrupted, particularly on June 27 and 30. In addition to road restrictions, security spot checks on vehicles and cargo inspections may take longer than usual prior to and during the summit.

It is possible that local freight forwarders may pick up imported air cargo arriving during the G20 summit period from July 1 onwards. Thus, customers are advised to liaise with local contacts to avoid delays for critical cargo, such as perishable or pharmaceutical goods, that may require special handling. Alternatively, customers can also consider rerouting shipments to Tokyo’s Narita Airport to avoid delays. This option was used by manufacturers when KIX was shut down for 3-days due to the destruction caused by Typhoon Jebi in 2018.",Moderate,Japan,2019-06-21 15:21:00,34.43214,135.23035,false,"['kobe', 'osaka']",true,"Cargo Disruption, Roadway Closure / Disruption, Maritime Advisory",Administrative Issue,"['port_operational_disruption', 'maritime_security_navigation_disruption']","Osaka’s G20 summit likely to impede logistics operations from June 27-30 Japan will host its first ever Group of Twenty (G20) summit at Osaka’s International Exhibition Center on June 28-29, 2019. The G20 summit is held annually for governments of 20 member nations to discuss a wide range of issues affecting the world’s economy. In light of the high profile event, Japanese authorities have released a statement detailing large-scale traffic and sea restrictions near Osaka Port, Kansai International Airport (KIX), as well as within Osaka city during the summit period. As KIX is the country’s third largest airport and a key logistics hub for engineering and automotive companies from southern and central regions of Japan, heightened security checks and restrictions may significantly affect cargo handling and delivery for industries that rely heavily on this route. 

Organizers of the G20 summit reportedly aim to reduce traffic by 50 percent for four days, during and leading up to the event. To this end, local authorities have set up traffic restrictions in and around Osaka especially for roads connecting to KIX. The airport is built on an artificial island in Osaka Bay; thus the bridge that connects KIX to Rinku town on the main island will be the most impacted route, particularly on June 27 and June 30 during the arrival and departure of head of states. 

From June 27-30, 10 major sections of Hanshin Expressway including No.1 Loop Route and the Gulf Line totaling about 160 kilometers that connects to KIX, hotels, and the summit venue will be closed to traffic from morning until late evening to facilitate movement of delegates and participants of the summit. As a result, traffic will likely be diverted to other expressways such as Meishin Expressway. In Osaka, traffic restrictions will be in effect at 9 locations: Osaka Station, Nakanoshima, Tenma, Osaka Castle, Honcho, Uehoncho, Namba, Tennoji, and Nanko. 

In order to access international cargo and fuel supply areas, authorities have set up a fixed route bus that goes from Kansai Airport Station to these areas. However, the bus may not operate normally due to traffic restrictions and logistics providers have been advised to allow for extra travel time. 

According to official statements by the local authorities, heightened security checks can be expected at three main entry points in Kansai region: Kansai International Airport, Osaka International Airport (also known as Itami Airport), and Kobe Airport. Due to their proximity to the event venue, Kansai and Osaka Airports will be used widely by the participants and both airports have released statements pertaining to cargo inspections. 

While no airlines have publicly announced additional flights during the aforementioned period, both airports have pre-warned about possible flight delays on June 27 and June 30 due to the arrival and departure of aircrafts carrying heads of states and government officials. Both airports also have prohibited flying drones above and around the facilities; KIX in particular has restricted flying drones within 1,000 meters of the airport. 

According to the statement released by authorities, all vessels entering the sea near Osaka Port and KIX from June 24–30 are requested to provide prior notification to Japan’s maritime security department by noon at least the day before the planned navigation date. Failure to do so would result in longer berthing times. Shipping companies can submit earlier notifications to the nearest maritime security department starting from June 3–19. In addition, vessels are also requested to refrain from entering designated restricted areas, referred to as """"voluntary navigation restraint sea area"""", around the airport island and the """"exclusive use sea area"""" between the two parts of the island.

Traffic restrictions in and out of KIX for 4-days are likely to be the main challenge for Everstream Analytics customers with airfreight as collection service for KIX from major domestic shipping companies and delivery service centered in Osaka are likely to be disrupted, particularly on June 27 and 30. In addition to road restrictions, security spot checks on vehicles and cargo inspections may take longer than usual prior to and during the summit.

It is possible that local freight forwarders may pick up imported air cargo arriving during the G20 summit period from July 1 onwards. Thus, customers are advised to liaise with local contacts to avoid delays for critical cargo, such as perishable or pharmaceutical goods, that may require special handling. Alternatively, customers can also consider rerouting shipments to Tokyo’s Narita Airport to avoid delays. This option was used by manufacturers when KIX was shut down for 3-days due to the destruction caused by Typhoon Jebi in 2018.",osaka's g20 summit likely to impede logistics operations from june 27 30 japan will host its first ever group of twenty g20 summit at osaka's international exhibition center on june 28 29 2019 the g20 summit is held annually for governments of 20 member nations to discuss a wide range of issues affecting the world's economy in light of the high profile event japanese authorities have released a statement detailing large scale traffic and sea restrictions near osaka port kansai international airport kix as well as within osaka city during the summit period as kix is the country's third largest airport and a key logistics hub for engineering and automotive companies from southern and central regions of japan heightened security checks and restrictions may significantly affect cargo handling and delivery for industries that rely heavily on this route organizers of the g20 summit reportedly aim to reduce traffic by 50 percent for four days during and leading up to the event to this end local authorities have set up traffic restrictions in and around osaka especially for roads connecting to kix the airport is built on an artificial island in osaka bay thus the bridge that connects kix to rinku town on the main island will be the most impacted route particularly on june 27 and june 30 during the arrival and departure of head of states from june 27 30 10 major sections of hanshin expressway including no 1 loop route and the gulf line totaling about 160 kilometers that connects to kix hotels and the summit venue will be closed to traffic from morning until late evening to facilitate movement of delegates and participants of the summit as a result traffic will likely be diverted to other expressways such as meishin expressway in osaka traffic restrictions will be in effect at 9 locations osaka station nakanoshima tenma osaka castle honcho uehoncho namba tennoji and nanko in order to access international cargo and fuel supply areas authorities have set up a fixed route bus that goes from kansai airport station to these areas however the bus may not operate normally due to traffic restrictions and logistics providers have been advised to allow for extra travel time according to official statements by the local authorities heightened security checks can be expected at three main entry points in kansai region kansai international airport osaka international airport also known as itami airport and kobe airport due to their proximity to the event venue kansai and osaka airports will be used widely by the participants and both airports have released statements pertaining to cargo inspections while no airlines have publicly announced additional flights during the aforementioned period both airports have pre warned about possible flight delays on june 27 and june 30 due to the arrival and departure of aircrafts carrying heads of states and government officials both airports also have prohibited flying drones above and around the facilities kix in particular has restricted flying drones within 1 000 meters of the airport according to the statement released by authorities all vessels entering the sea near osaka port and kix from june 24 30 are requested to provide prior notification to japan's maritime security department by noon at least the day before the planned navigation date failure to do so would result in longer berthing times shipping companies can submit earlier notifications to the nearest maritime security department starting from june 3 19 in addition vessels are also requested to refrain from entering designated restricted areas referred to as voluntary navigation restraint sea area around the airport island and the exclusive use sea area between the two parts of the island traffic restrictions in and out of kix for 4 days are likely to be the main challenge for everstream analytics customers with airfreight as collection service for kix from major domestic shipping companies and delivery service centered in osaka are likely to be disrupted particularly on june 27 and 30 in addition to road restrictions security spot checks on vehicles and cargo inspections may take longer than usual prior to and during the summit it is possible that local freight forwarders may pick up imported air cargo arriving during the g20 summit period from july 1 onwards thus customers are advised to liaise with local contacts to avoid delays for critical cargo such as perishable or pharmaceutical goods that may require special handling alternatively customers can also consider rerouting shipments to tokyo's narita airport to avoid delays this option was used by manufacturers when kix was shut down for 3 days due to the destruction caused by typhoon jebi in 2018
914,UPDATE: Up to 11 vessels waiting for a berth at Port of Qingdao,"Updated sources on October 11 indicate that there were 4 vessels waiting for a berth at Qingdao Qianwan Container Terminal (QQCT), 2 vessels waiting for a berth at Qingdao Qianwan United Container Terminal (QQCTU) and 1 vessel waiting for a berth at QQCTN terminals.",Minor,China,2018-08-14 03:19:00,36.01421,120.20203,true,['qingdao'],true,"Port Congestion, Cargo Disruption",Administrative Issue,['port_operational_disruption'],"UPDATE: Up to 11 vessels waiting for a berth at Port of Qingdao Updated sources on October 11 indicate that there were 4 vessels waiting for a berth at Qingdao Qianwan Container Terminal (QQCT), 2 vessels waiting for a berth at Qingdao Qianwan United Container Terminal (QQCTU) and 1 vessel waiting for a berth at QQCTN terminals.",update up to 11 vessels waiting for a berth at port of qingdao updated sources on october 11 indicate that there were 4 vessels waiting for a berth at qingdao qianwan container terminal qqct 2 vessels waiting for a berth at qingdao qianwan united container terminal qqctu and 1 vessel waiting for a berth at qqctn terminals
3927,Port congestion reported at Port of Dammam due to reduced staff,Shipping sources on April 3 report that the Saudi Arabian port of Dammam is facing congestion due to reduced turnaround of staff as the government imposed COVID-19 related quarantines.,Moderate,Saudi Arabia,2020-03-04 12:58:00,26.49713,50.19945,false,['dammam'],true,Port Congestion,Administrative Issue,['port_operational_disruption'],Port congestion reported at Port of Dammam due to reduced staff Shipping sources on April 3 report that the Saudi Arabian port of Dammam is facing congestion due to reduced turnaround of staff as the government imposed COVID-19 related quarantines.,port congestion reported at port of dammam due to reduced staff shipping sources on april 3 report that the saudi arabian port of dammam is facing congestion due to reduced turnaround of staff as the government imposed covid 19 related quarantines
809,"UPDATE - USA, Virginia: Tropical Storm Michael results in fatalities, power outages, and road closures overnight in Virginia","Media sources are confirming at least five storm-related fatalities in Virginia as a result of Tropical Storm Michael overnight. As of this morning, the Virginia Department of Emergency Management released statistics confirming the fatalities as well as indicating that around 520,000 are without power and nearly 1,200 roadways are closed due to flooding and downed trees. Emergency officials are urging motorists to take extra precautions if transiting the area. A Flood Warning remains in effect in the eastern region of Virginia until 10:45 EDT. Travelers are advised to actively monitor weather and media outlets for situational updates. Motorists should keep apprised of ongoing road closures via traffic reports and avoid areas where flood conditions persist.",Moderate,United States,2018-12-10 13:45:00,37.5407,-77.436,false,['virginia'],true,"Roadway Closure / Disruption, Flooding, Storm, Weather Advisory, Power Outage",Weather,['weather_disruption'],"UPDATE - USA, Virginia: Tropical Storm Michael results in fatalities, power outages, and road closures overnight in Virginia Media sources are confirming at least five storm-related fatalities in Virginia as a result of Tropical Storm Michael overnight. As of this morning, the Virginia Department of Emergency Management released statistics confirming the fatalities as well as indicating that around 520,000 are without power and nearly 1,200 roadways are closed due to flooding and downed trees. Emergency officials are urging motorists to take extra precautions if transiting the area. A Flood Warning remains in effect in the eastern region of Virginia until 10:45 EDT. Travelers are advised to actively monitor weather and media outlets for situational updates. Motorists should keep apprised of ongoing road closures via traffic reports and avoid areas where flood conditions persist.",update usa virginia tropical storm michael results in fatalities power outages and road closures overnight in virginia media sources are confirming at least five storm related fatalities in virginia as a result of tropical storm michael overnight as of this morning the virginia department of emergency management released statistics confirming the fatalities as well as indicating that around 520 000 are without power and nearly 1 200 roadways are closed due to flooding and downed trees emergency officials are urging motorists to take extra precautions if transiting the area a flood warning remains in effect in the eastern region of virginia until 10 45 edt travelers are advised to actively monitor weather and media outlets for situational updates motorists should keep apprised of ongoing road closures via traffic reports and avoid areas where flood conditions persist
627,Strong winds to disrupt port operations across South Africa until December 23,"Shipping sources indicate on December 21 that severe weather is likely to impact operations at container terminals in South Africa between November December 19 and 23, in particular in the Port of Durban, the Port of Coega and the Port of Cape Town. As a result, productivity is likely to be reuced and incoming vessels may be delayed.",Minor,South Africa,2018-12-21 13:30:00,-29.88408,31.01762,true,['durban'],true,"Port Disruption,Port Closure",Weather,"['port_operational_disruption', 'port_closure']","Strong winds to disrupt port operations across South Africa until December 23 Shipping sources indicate on December 21 that severe weather is likely to impact operations at container terminals in South Africa between November December 19 and 23, in particular in the Port of Durban, the Port of Coega and the Port of Cape Town. As a result, productivity is likely to be reuced and incoming vessels may be delayed.",strong winds to disrupt port operations across south africa until december 23 shipping sources indicate on december 21 that severe weather is likely to impact operations at container terminals in south africa between november december 19 and 23 in particular in the port of durban the port of coega and the port of cape town as a result productivity is likely to be reuced and incoming vessels may be delayed
5031,Cargo vessel skips Port Klang for schedule recovery,Intelligence received by Everstream Analytics indicated on December 2 that PS3 Service Vessel ONE COMPETENCE 0076E was due to arrive at Port of Nhava Sheva on December 11 and at Port of Pipava in India on December 14. The vessel is expected to skip Port Klang in Malaysia for schedule recovery.,Moderate,Malaysia,2020-02-12 06:53:00,3.02411,101.36136,true,"['nhava sheva', 'port klang']",true,Cargo Disruption,Administrative Issue,['port_operational_disruption'],Cargo vessel skips Port Klang for schedule recovery Intelligence received by Everstream Analytics indicated on December 2 that PS3 Service Vessel ONE COMPETENCE 0076E was due to arrive at Port of Nhava Sheva on December 11 and at Port of Pipava in India on December 14. The vessel is expected to skip Port Klang in Malaysia for schedule recovery.,cargo vessel skips port klang for schedule recovery intelligence received by everstream analytics indicated on december 2 that ps3 service vessel one competence 0076e was due to arrive at port of nhava sheva on december 11 and at port of pipava in india on december 14 the vessel is expected to skip port klang in malaysia for schedule recovery
