dataset_split,row_index,id,inspected_risk,error_type,selection,Headline,Details,Category,Summarized_label,maritime_label,true_risks,stage_a_predictions,risk_score,matched_strong_evidence,matched_supporting_evidence,applied_context_bonuses,prediction_explanation
development,1041,3918,maritime_security_navigation_disruption,false_negative,complete,Port authorities implement temperature screening at all ports,"Media sources reported that the Maritime and Port Authority of Singapore has implemented temperature screening from January 24 onwards at all of its sea checkpoints for an indefinite period. This includes ferry and cruise terminals, PSA Terminals and Jurong Port, for inbound travelers. The new measure was implemented amid coronavirus outbreak around the world.",Maritime Advisory,Administrative Issue,True,"[""maritime_security_navigation_disruption""]",[],0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,2163,85,weather_disruption,false_positive,complete,Bad weather impacts operations at Brisbane and Melbourne Terminals,Industry sources on November 2 reported that the day and evening shifts at Brisbane and Melbourne Patrick Terminals will be closed due to bad weather situations. It remains unclear when the situation will normalize.,Port Disruption,Weather,True,"[""port_operational_disruption""]","[""weather_disruption""]",4,"[{""rule_id"": ""severe_weather"", ""label"": ""severe/bad weather"", ""match"": ""bad weather"", ""weight"": 3, ""span"": [0, 11]}]","[{""rule_id"": ""weather"", ""label"": ""weather"", ""match"": ""weather"", ""weight"": 1, ""span"": [209, 216]}]","{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 4 >= 3 with required context satisfied
development,2163,85,port_operational_disruption,false_negative,complete,Bad weather impacts operations at Brisbane and Melbourne Terminals,Industry sources on November 2 reported that the day and evening shifts at Brisbane and Melbourne Patrick Terminals will be closed due to bad weather situations. It remains unclear when the situation will normalize.,Port Disruption,Weather,True,"[""port_operational_disruption""]","[""weather_disruption""]",0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""terminals""]}",rejected: no rule evidence
development,1641,5355,weather_disruption,false_positive,complete,Port of Qingdao operations suspended due to inclement weather,Industry sources indicate on Dec 31 that the Port of Qingdao had been closed from 8:00 (local time) to 13:30 (local time) on Dec 28 due to dense fog. The port was again closed due to strong wind from 5:00 (local time) on Dec 29 and cargo operations have been suspended from 6:30 (local time) on Dec 29. Customers are advised to liaise with carriers to assess impact on planned shipments.,Port Closure,Weather,False,"[""port_closure""]","[""weather_disruption"", ""port_closure""]",6,"[{""rule_id"": ""severe_wind"", ""label"": ""severe/strong/high wind"", ""match"": ""strong wind"", ""weight"": 3, ""span"": [240, 251]}, {""rule_id"": ""severe_weather"", ""label"": ""severe/bad weather"", ""match"": ""inclement weather"", ""weight"": 3, ""span"": [44, 61]}]",[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 6 >= 3 with required context satisfied
development,450,1338,port_closure,false_positive,complete,Charleston Container terminals open on February 18,"Shipping sources indicated that truck gates at Charleston container terminals will be open on February 18 from 06:00 to 18:00 (local time) although no reefer gates will be available. Moreover, gates at Charleston’s Columbus Street, Union Pier and Veterans Terminals will also be closed on the day. Breakbulk operations at the Wando Welch Terminal Warehouse and the North Charleston Terminal will also be closed. Nevertheless, Inland port greer and dillon will also be opened.",Maritime Advisory,Administrative Issue,True,"[""maritime_security_navigation_disruption""]","[""port_closure""]",7,"[{""rule_id"": ""context_then_close"", ""label"": ""maritime facility closure"", ""match"": ""pier and veterans terminals will also be closed"", ""weight"": 3, ""span"": [284, 331]}, {""rule_id"": ""close_then_context"", ""label"": ""closure of maritime facility"", ""match"": ""closed nevertheless inland port"", ""weight"": 3, ""span"": [449, 480]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""container""]}",predicted: score 7 >= 4 with required context satisfied
development,450,1338,maritime_security_navigation_disruption,false_negative,complete,Charleston Container terminals open on February 18,"Shipping sources indicated that truck gates at Charleston container terminals will be open on February 18 from 06:00 to 18:00 (local time) although no reefer gates will be available. Moreover, gates at Charleston’s Columbus Street, Union Pier and Veterans Terminals will also be closed on the day. Breakbulk operations at the Wando Welch Terminal Warehouse and the North Charleston Terminal will also be closed. Nevertheless, Inland port greer and dillon will also be opened.",Maritime Advisory,Administrative Issue,True,"[""maritime_security_navigation_disruption""]","[""port_closure""]",0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""shipping""]}",rejected: no rule evidence
development,2471,2676,weather_disruption,false_positive,complete,UPDATE 1: Strong winds affect operations at Port of Dalian,"Shipping sources on October 25 indicate that strong winds have been affecting Port of Dalian's operations. The port was reportedly closed from 01:00 - 05:30 local time on October 25. Previously, the port was closed in the morning hours of October 24 due to adverse weather. Expect increased waiting times for berthing in the coming hours.",Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption"", ""port_closure""]",7,"[{""rule_id"": ""severe_wind"", ""label"": ""severe/strong/high wind"", ""match"": ""strong winds"", ""weight"": 3, ""span"": [9, 21]}, {""rule_id"": ""severe_weather"", ""label"": ""severe/bad weather"", ""match"": ""adverse weather"", ""weight"": 3, ""span"": [310, 325]}]","[{""rule_id"": ""wind"", ""label"": ""wind"", ""match"": ""winds"", ""weight"": 1, ""span"": [110, 115]}]","{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 7 >= 3 with required context satisfied
development,2471,2676,port_closure,false_positive,complete,UPDATE 1: Strong winds affect operations at Port of Dalian,"Shipping sources on October 25 indicate that strong winds have been affecting Port of Dalian's operations. The port was reportedly closed from 01:00 - 05:30 local time on October 25. Previously, the port was closed in the morning hours of October 24 due to adverse weather. Expect increased waiting times for berthing in the coming hours.",Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption"", ""port_closure""]",5,"[{""rule_id"": ""context_then_close"", ""label"": ""maritime facility closure"", ""match"": ""port was reportedly closed"", ""weight"": 3, ""span"": [168, 194]}]","[{""rule_id"": ""closure_term"", ""label"": ""closure/closed/suspended/halted"", ""match"": ""closed"", ""weight"": 1, ""span"": [261, 267]}]","{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",predicted: score 5 >= 4 with required context satisfied
development,2428,1717,labor_strike_disruption,false_negative,complete,Jamaica - Low participation was reported during taxi strike on Monday. Incident closed.,"Media sources reported that some taxi drivers in Jamaica held a strike on Monday, September 2. Some drivers participated in Kingston and St. Andrew. Drivers and organizations in the taxi industry were divided on the decision to strike, and the umbrella National Council of Taxi Associations (NCOTA) group disapproved the labor action. The Jamaica Association of Taxi Owners and Operators (JATOO) stated that they would participate in the labor action. The strike was called to urge the government to increase taxi fares. This incident is closed.",Miscellaneous Strikes,Worker Strike,False,"[""labor_strike_disruption""]",[],3,"[{""rule_id"": ""strike"", ""label"": ""strike action"", ""match"": ""strike"", ""weight"": 3, ""span"": [51, 57]}]",[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",rejected: evidence found but required context missing
development,1393,5206,maritime_security_navigation_disruption,false_negative,complete,"In Khalifa Port, Abu Dhabi, administrative authorities opened the South Quay of","In Khalifa Port, Abu Dhabi, administrative authorities opened the South Quay of the port, with a 37,000 square meter terminal, following expansion works ahead of schedule.","Miscellaneous Events, Maritime Advisory",Administrative Issue,True,"[""maritime_security_navigation_disruption""]",[],0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
