dataset_split,version,average,precision,recall,f1
development,Version 1,micro,0.6511627906976745,0.1346153846153846,0.22310756972111553
development,Version 1,macro,0.6332956259426848,0.18115942028985507,0.25328951725489884
development,Version 1,weighted,0.701841498433693,0.1346153846153846,0.1965510503571086
development,Version 2,micro,0.6683937823834197,0.6201923076923077,0.6433915211970075
development,Version 2,macro,0.7296549627696702,0.6898361635680477,0.626096885014568
development,Version 2,weighted,0.7963860359132714,0.6201923076923077,0.6298082785601841
validation,Version 1,micro,0.6855345911949685,0.1676923076923077,0.2694684796044499
validation,Version 1,macro,0.8213290915517851,0.19364186627282198,0.26345809510549395
validation,Version 1,weighted,0.7892314870707234,0.1676923076923077,0.23270898662436662
validation,Version 2,micro,0.66890756302521,0.6123076923076923,0.6393574297188755
validation,Version 2,macro,0.7580245067712278,0.6760083739165367,0.642502747663928
validation,Version 2,weighted,0.7825402952887651,0.6123076923076923,0.6271453058180579
final_test,Version 2,micro,0.6455525606469003,0.6253263707571801,0.6352785145888594
final_test,Version 2,macro,0.7302954292084727,0.6793977274735511,0.6254059727082709
final_test,Version 2,weighted,0.7655177106164733,0.6253263707571801,0.624833747647396
