dataset_split,version,risk,precision,recall,f1,support,predicted_count,true_positives,false_positives,false_negatives
development,Version 1,weather_disruption,0.5882352941176471,0.4166666666666667,0.4878048780487805,24,17,10,7,14
development,Version 1,natural_disaster,1.0,0.2222222222222222,0.36363636363636365,9,2,2,0,7
development,Version 1,port_operational_disruption,1.0,0.07608695652173914,0.1414141414141414,92,7,7,0,85
development,Version 1,port_closure,0.46153846153846156,0.2608695652173913,0.3333333333333333,23,13,6,7,17
development,Version 1,labor_strike_disruption,0.75,0.1111111111111111,0.1935483870967742,27,4,3,1,24
development,Version 1,maritime_security_navigation_disruption,0.0,0.0,0.0,33,0,0,0,33
development,Version 2,weather_disruption,0.3620689655172414,0.875,0.5121951219512195,24,58,21,37,3
development,Version 2,natural_disaster,0.8181818181818182,1.0,0.9,9,11,9,2,0
development,Version 2,port_operational_disruption,0.9354838709677419,0.6304347826086957,0.7532467532467533,92,62,58,4,34
development,Version 2,port_closure,0.5121951219512195,0.9130434782608695,0.65625,23,41,21,20,2
development,Version 2,labor_strike_disruption,1.0,0.6296296296296297,0.7727272727272727,27,17,17,0,10
development,Version 2,maritime_security_navigation_disruption,0.75,0.09090909090909091,0.16216216216216217,33,4,3,1,30
validation,Version 1,weather_disruption,0.5853658536585366,0.5274725274725275,0.5549132947976878,91,82,48,34,43
validation,Version 1,natural_disaster,1.0,0.058823529411764705,0.1111111111111111,17,1,1,0,16
validation,Version 1,port_operational_disruption,0.782608695652174,0.060810810810810814,0.11285266457680251,296,23,18,5,278
validation,Version 1,port_closure,0.6,0.189873417721519,0.28846153846153844,79,25,15,10,64
validation,Version 1,labor_strike_disruption,0.96,0.2891566265060241,0.4444444444444444,83,25,24,1,59
validation,Version 1,maritime_security_navigation_disruption,1.0,0.03571428571428571,0.06896551724137931,84,3,3,0,81
validation,Version 2,weather_disruption,0.4,0.8791208791208791,0.5498281786941581,91,200,80,120,11
validation,Version 2,natural_disaster,0.8888888888888888,0.9411764705882353,0.9142857142857143,17,18,16,2,1
validation,Version 2,port_operational_disruption,0.8829787234042553,0.5608108108108109,0.6859504132231405,296,188,166,22,130
validation,Version 2,port_closure,0.5904761904761905,0.7848101265822784,0.6739130434782609,79,105,62,43,17
validation,Version 2,labor_strike_disruption,0.8767123287671232,0.7710843373493976,0.8205128205128205,83,73,64,9,19
validation,Version 2,maritime_security_navigation_disruption,0.9090909090909091,0.11904761904761904,0.21052631578947367,84,11,10,1,74
final_test,Version 2,weather_disruption,0.4166666666666667,0.9174311926605505,0.5730659025787965,109,240,100,140,9
final_test,Version 2,natural_disaster,0.85,0.9714285714285714,0.9066666666666666,35,40,34,6,1
final_test,Version 2,port_operational_disruption,0.8717948717948718,0.5811965811965812,0.6974358974358974,351,234,204,30,147
final_test,Version 2,port_closure,0.4420289855072464,0.7176470588235294,0.547085201793722,85,138,61,77,24
final_test,Version 2,labor_strike_disruption,0.8846153846153846,0.7752808988764045,0.8263473053892215,89,78,69,9,20
final_test,Version 2,maritime_security_navigation_disruption,0.9166666666666666,0.1134020618556701,0.2018348623853211,97,12,11,1,86
