id,input_text,stage_a_predictions,stage_b_predictions,route_to_stage_c,accepted_predictions,stage_c_route_reason,stage_b_probabilities
552,"Severe winds caused brief suspension at Port of Durban terminals Local sources reported that operations at Pier 1 and 2 container terminals at the Port of Durban have suspended due to strong winds on December 27 from 18:50 (local time) and resumed at 23:10 on the same day. For Pier 2 terminal, operations stopped at 19:30 and resumed at 20:35 respectively.","[""weather_disruption""]","[""weather_disruption"", ""port_operational_disruption"", ""port_closure""]",True,[],predictions_disagree,"{""weather_disruption"": 0.966063, ""natural_disaster"": 0.014694, ""port_operational_disruption"": 0.925148, ""port_closure"": 0.767916, ""labor_strike_disruption"": 0.027469, ""maritime_security_navigation_disruption"": 0.041006}"
2973,"USA: 'Fridays for Future' climate change protests anticipated nationwide on 29 November and 6 December Protests against climate change are anticipated nationwide on 29 November and 6 December as part of the 'Fridays for Future' global climate strike. Specific details of planned events have not been confirmed, but are likely to occur in major cities across the country. Previous climate strikes have seen large turnout in cities such as New York City, Philadelphia, and Washington, D.C.","[""labor_strike_disruption""]","[""labor_strike_disruption""]",False,"[""labor_strike_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.312684, ""natural_disaster"": 0.006703, ""port_operational_disruption"": 0.032452, ""port_closure"": 0.015708, ""labor_strike_disruption"": 0.98345, ""maritime_security_navigation_disruption"": 0.029815}"
6,"UPDATE - Indonesia: Severe winds damage infrastructure in Bandung, West Java Severe winds have downed billboards and trees in Bandung on Wednesday afternoon. According to local media sources, the gales were accompanied by heavy rain which caused localised flooding in certain areas. Available images show a large billboard collapsed against the Flyover Rainbow Antapani causing significant congestion on Jalan Terusan Jakarta. There are no reports of casualties at this time. Travellers in Bandung should drive with caution and be prepared to alter routes at short notice. Keep abreast of the latest weather forecasts and defer journeys if necessary.","[""weather_disruption"", ""port_operational_disruption""]","[""weather_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.95819, ""natural_disaster"": 0.108267, ""port_operational_disruption"": 0.048542, ""port_closure"": 0.043966, ""labor_strike_disruption"": 0.033585, ""maritime_security_navigation_disruption"": 0.161624}"
4537,"UPDATE 1 - Refrigerated container import capacity shortage improving at Tianjin Port Updated sources indicate that terminals at the Tianjin Port are currently facing constrained capacity for refrigerated container imports due to an insufficient supply of power plugs. The shortage is reportedly ongoing but improving at the port, which is under exceptional circumstances due to complications related to the COVID-19 virus outbreak.","[""port_operational_disruption""]","[""port_operational_disruption""]",False,"[""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.092077, ""natural_disaster"": 0.002065, ""port_operational_disruption"": 0.891311, ""port_closure"": 0.208126, ""labor_strike_disruption"": 0.02117, ""maritime_security_navigation_disruption"": 0.594364}"
3771,"Marine wind warning issued for Port of Sydney from May 21-22 Industry sources indicate that the Bureau of Meteorology has issued the following marine wind warning for Sydney on May 21 and 22:

Wind Warnings for Thursday 21 May

Gale Warning for the following areas:
Illawarra Coast and Batemans Coast
Strong Wind Warning for the following areas:
Macquarie Coast, Hunter Coast and Eden Coast
Cancellation for the following area:
Sydney Coast

Wind Warnings for Friday 20 May

Storm Force Wind Warning for the following areas:
Sydney Coast and Illawarra Coast
Gale Warning for the following areas:
Macquarie Coast, Hunter Coast, Batemans Coast and Eden Coast
Strong Wind Warning for the following areas:
Sydney Closed Waters and Coffs Coast","[""weather_disruption""]","[""weather_disruption""]",False,"[""weather_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.976962, ""natural_disaster"": 0.021113, ""port_operational_disruption"": 0.082851, ""port_closure"": 0.233619, ""labor_strike_disruption"": 0.01166, ""maritime_security_navigation_disruption"": 0.474514}"
3090,"WATCH FOR: Road cargo and transport disruption during protests by striking... Risk analysis: Striking taxi drivers launched protests on 23 January to demand the regulation of services offered by ride-sharing providers such as Uber and Cabify. On 29 January, their representatives warned that the protests would continue indefinitely until a deal was reached with the authorities. Hundreds of taxi drivers are likely to gather in several areas of central Madrid, including Gran Via, Puerta del Sol, and Calle de Genova outside the People's Party's (Partido Popular: PP) headquarters, to block traffic, causing severe road cargo and transport disruption. On 23 January, taxi drivers blocked access to the Fitur tourism fair at the IFEMA conference centre in Madrid, and on 28 January the police used cranes to remove taxis blocking Paseo de la Castellana.                    Content provided by IHS Markit Foresight © 2019",[],"[""labor_strike_disruption""]",False,"[""labor_strike_disruption""]",stage_a_empty_stage_b_confident,"{""weather_disruption"": 0.016321, ""natural_disaster"": 0.087064, ""port_operational_disruption"": 0.226914, ""port_closure"": 0.014747, ""labor_strike_disruption"": 0.97805, ""maritime_security_navigation_disruption"": 0.092257}"
1947,"Osaka’s G20 summit likely to impede logistics operations from June 27-30 Japan will host its first ever Group of Twenty (G20) summit at Osaka’s International Exhibition Center on June 28-29, 2019. The G20 summit is held annually for governments of 20 member nations to discuss a wide range of issues affecting the world’s economy. In light of the high profile event, Japanese authorities have released a statement detailing large-scale traffic and sea restrictions near Osaka Port, Kansai International Airport (KIX), as well as within Osaka city during the summit period. As KIX is the country’s third largest airport and a key logistics hub for engineering and automotive companies from southern and central regions of Japan, heightened security checks and restrictions may significantly affect cargo handling and delivery for industries that rely heavily on this route. 

Organizers of the G20 summit reportedly aim to reduce traffic by 50 percent for four days, during and leading up to the event. To this end, local authorities have set up traffic restrictions in and around Osaka especially for roads connecting to KIX. The airport is built on an artificial island in Osaka Bay; thus the bridge that connects KIX to Rinku town on the main island will be the most impacted route, particularly on June 27 and June 30 during the arrival and departure of head of states. 

From June 27-30, 10 major sections of Hanshin Expressway including No.1 Loop Route and the Gulf Line totaling about 160 kilometers that connects to KIX, hotels, and the summit venue will be closed to traffic from morning until late evening to facilitate movement of delegates and participants of the summit. As a result, traffic will likely be diverted to other expressways such as Meishin Expressway. In Osaka, traffic restrictions will be in effect at 9 locations: Osaka Station, Nakanoshima, Tenma, Osaka Castle, Honcho, Uehoncho, Namba, Tennoji, and Nanko. 

In order to access international cargo and fuel supply areas, authorities have set up a fixed route bus that goes from Kansai Airport Station to these areas. However, the bus may not operate normally due to traffic restrictions and logistics providers have been advised to allow for extra travel time. 

According to official statements by the local authorities, heightened security checks can be expected at three main entry points in Kansai region: Kansai International Airport, Osaka International Airport (also known as Itami Airport), and Kobe Airport. Due to their proximity to the event venue, Kansai and Osaka Airports will be used widely by the participants and both airports have released statements pertaining to cargo inspections. 

While no airlines have publicly announced additional flights during the aforementioned period, both airports have pre-warned about possible flight delays on June 27 and June 30 due to the arrival and departure of aircrafts carrying heads of states and government officials. Both airports also have prohibited flying drones above and around the facilities; KIX in particular has restricted flying drones within 1,000 meters of the airport. 

According to the statement released by authorities, all vessels entering the sea near Osaka Port and KIX from June 24–30 are requested to provide prior notification to Japan’s maritime security department by noon at least the day before the planned navigation date. Failure to do so would result in longer berthing times. Shipping companies can submit earlier notifications to the nearest maritime security department starting from June 3–19. In addition, vessels are also requested to refrain from entering designated restricted areas, referred to as """"voluntary navigation restraint sea area"""", around the airport island and the """"exclusive use sea area"""" between the two parts of the island.

Traffic restrictions in and out of KIX for 4-days are likely to be the main challenge for Everstream Analytics customers with airfreight as collection service for KIX from major domestic shipping companies and delivery service centered in Osaka are likely to be disrupted, particularly on June 27 and 30. In addition to road restrictions, security spot checks on vehicles and cargo inspections may take longer than usual prior to and during the summit.

It is possible that local freight forwarders may pick up imported air cargo arriving during the G20 summit period from July 1 onwards. Thus, customers are advised to liaise with local contacts to avoid delays for critical cargo, such as perishable or pharmaceutical goods, that may require special handling. Alternatively, customers can also consider rerouting shipments to Tokyo’s Narita Airport to avoid delays. This option was used by manufacturers when KIX was shut down for 3-days due to the destruction caused by Typhoon Jebi in 2018.","[""weather_disruption"", ""port_operational_disruption"", ""maritime_security_navigation_disruption""]",[],True,[],stage_b_empty,"{""weather_disruption"": 0.11086, ""natural_disaster"": 0.017377, ""port_operational_disruption"": 0.423535, ""port_closure"": 0.036483, ""labor_strike_disruption"": 0.231934, ""maritime_security_navigation_disruption"": 0.496201}"
914,"UPDATE: Up to 11 vessels waiting for a berth at Port of Qingdao Updated sources on October 11 indicate that there were 4 vessels waiting for a berth at Qingdao Qianwan Container Terminal (QQCT), 2 vessels waiting for a berth at Qingdao Qianwan United Container Terminal (QQCTU) and 1 vessel waiting for a berth at QQCTN terminals.","[""port_operational_disruption""]","[""port_operational_disruption""]",False,"[""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.03917, ""natural_disaster"": 0.002389, ""port_operational_disruption"": 0.85671, ""port_closure"": 0.066398, ""labor_strike_disruption"": 0.058737, ""maritime_security_navigation_disruption"": 0.467439}"
3927,Port congestion reported at Port of Dammam due to reduced staff Shipping sources on April 3 report that the Saudi Arabian port of Dammam is facing congestion due to reduced turnaround of staff as the government imposed COVID-19 related quarantines.,"[""port_operational_disruption""]","[""port_operational_disruption""]",False,"[""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.128643, ""natural_disaster"": 0.007929, ""port_operational_disruption"": 0.891895, ""port_closure"": 0.069489, ""labor_strike_disruption"": 0.057447, ""maritime_security_navigation_disruption"": 0.214872}"
809,"UPDATE - USA, Virginia: Tropical Storm Michael results in fatalities, power outages, and road closures overnight in Virginia Media sources are confirming at least five storm-related fatalities in Virginia as a result of Tropical Storm Michael overnight. As of this morning, the Virginia Department of Emergency Management released statistics confirming the fatalities as well as indicating that around 520,000 are without power and nearly 1,200 roadways are closed due to flooding and downed trees. Emergency officials are urging motorists to take extra precautions if transiting the area. A Flood Warning remains in effect in the eastern region of Virginia until 10:45 EDT. Travelers are advised to actively monitor weather and media outlets for situational updates. Motorists should keep apprised of ongoing road closures via traffic reports and avoid areas where flood conditions persist.","[""weather_disruption""]","[""weather_disruption""]",False,"[""weather_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.987523, ""natural_disaster"": 0.157043, ""port_operational_disruption"": 0.020804, ""port_closure"": 0.02284, ""labor_strike_disruption"": 0.045374, ""maritime_security_navigation_disruption"": 0.064395}"
